,Классика,Анальный,Групповой,Двойное проникновение,С резинкой,Без резинки,Глубокий,В машине,Кунилингус,Анилингус,В рот,На лицо,На грудь,Бандаж,Госпожа,Ролевые игры,Лёгкая доминация,Порка,Рабыня,Фетиш,Трамплинг,Страпон,Игрушки,Профи,Не профи,Классический массаж,Профессиональный,Расслабляющий,Тайский,Урологический,Эротический,Ветка сакуры,Лесби откровенное,Лесби лёгкое,Выдача,Приём,Эскорт,Фото/Видео,Услуги семейной паре ,Город,Район,Возраст,Рост,Вес,Размер бюста,Цвет волос,За час у нее,За два часа у нее,За ночь у нее,За час у себя,За два часа у себя,За ночь у себя
1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Москва,Гагаринский,22,170,55,4.0,3,7000.0,10000.0,25000.0,8000.0,10000.0,25000.0
2,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,Москва,Гагаринский,19,170,50,1.0,4,7000.0,14000.0,28000.0,,14000.0,28000.0
3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,Москва,Выхино-Жулебино,21,161,50,2.0,1,2500.0,5000.0,13000.0,,,
4,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,Москва,Гагаринский,25,165,56,3.0,3,5000.0,10000.0,25000.0,,10000.0,25000.0
5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,Москва,Косино-Ухтомский,25,165,55,1.0,1,3000.0,6000.0,15000.0,3000.0,6000.0,15000.0
6,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,Москва,Бибирево,23,170,52,3.0,3,5000.0,8000.0,16000.0,,8000.0,18000.0
7,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,Москва,Дорогомилово,23,168,53,2.0,1,5000.0,10000.0,20000.0,,10000.0,20000.0
8,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,Москва,Дорогомилово,20,169,50,3.0,3,7000.0,14000.0,28000.0,,14000.0,28000.0
9,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,Москва,Войковский,22,171,53,3.0,3,5000.0,8000.0,16000.0,,8000.0,18000.0
10,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Москва,Гагаринский,22,168,49,3.0,2,7000.0,14000.0,28000.0,,14000.0,28000.0
