Муниципальное образование,Все население,Доля,subway
Богородское,110137,0.01256540429,Бульвар Рокоссовского
Вешняки,122419,0.01396664361,Выхино
Восточное Измайлово,78206,0.008922433041,Первомайская
Восточное,13752,0.001568949942,Щёлковская
Гольяново,163197,0.01861895897,Щёлковская
Ивановское,128514,0.01466201519,Новогиреево
Измайлово,107883,0.01230824801,Измайлово
Косино-Ухтомское,82413,0.009402404856,Косино
Метрогородок,39121,0.00446327012,Бульвар Рокоссовского
Новогиреево,98634,0.01125304018,Новогиреево
Новокосино,108204,0.01234487053,Новокосино
Перово,141269,0.01611721854,Перово
Преображенское,91574,0.01044757286,Преображенская площадь
Северное Измайлово,88007,0.01004061791,Щёлковская
Соколиная Гора,92337,0.01053462266,Измайлово
Сокольники,61649,0.007033463859,Сокольники
Дорогомилово,76218,0.008695624396,Парк Победы
Крылатское,83007,0.009470173636,Крылатское
Кунцево,152467,0.01739478555,Кунцевская
Можайское,139081,0.01586759213,Кунцевская
Ново-Переделкино,121718,0.01388666733,Новопеределкино
Очаково-Матвеевское,130975,0.01494278786,Мичуринский проспект
Проспект Вернадского,64228,0.007327699017,Проспект Вернадского
Раменки,142389,0.01624499806,Раменки
Солнцево,126901,0.01447798986,Солнцево
Тропарево-Никулино,124287,0.0141797616,Тропарёво
Филевский парк,94787,0.01081414036,Филёвский парк
Аэропорт,79541,0.009074741663,Аэропорт
Беговое,42908,0.004895324616,Беговая
Бескудниковское,79732,0.009096532634,Беговая
Войковское,70899,0.008088785773,Войковская
Восточное Дегунино,99112,0.01130757466,Верхние Лихоборы
Головинское,103573,0.01181652504,Водный стадион
Дмитровское,93545,0.010672442,Дмитровская
Западное Дегунино,84381,0.009626931724,Верхние Лихоборы
Коптево,102238,0.01166421642,Коптево
Левобережное,54712,0.006242029467,Речной вокзал
Молжаниновское,12264,0.001399185725,Сокол
Савеловское,59586,0.006798098549,Савёловская
Сокол,60171,0.00686484053,Сокол
Тимирязевское,83824,0.009563384231,Тимирязевская
Ховрино,89094,0.0101646325,Ховрино
Хорошевское,72732,0.008297910645,Хорошёвская
Алексеевское,80634,0.009199440782,Алексеевская
Алтуфьевское,57697,0.006582584701,Алтуфьево
Бабушкинское,88691,0.01011865469,Бабушкинская
Бибирево,160447,0.01830521461,Бибирево
Бутырское,71798,0.008191351654,Бутырская
Марфино,35579,0.004059167393,Владыкино
Марьина Роща,67538,0.007705333129,Марьина роща
Останкинское,63697,0.007267117835,Телецентр
Отрадное,185745,0.02119143448,Отрадное
Ростокино,40196,0.00458591564,Ростокино
Свиблово,62981,0.007185430214,Свиблово
Северное Медведково,127986,0.01460177627,Медведково
Северное,38633,0.004407594758,Медведково
Южное Медведково,85867,0.009796467763,Медведково
Митино,195476,0.02230163314,Митино
Покровское Стрешнево,59512,0.006789655974,Стрешнево
Северное Тушино,166217,0.01896350731,Сходненская
Строгино,161298,0.01840230423,Строгино
Хорошево-Мневники,174834,0.01994661098,Хорошёво
Щукино,111673,0.01274064477,Щукинская
Южное Тушино,109708,0.01251646017,Тушинская
Арбат,36308,0.004142338169,Смоленская
Басманное,110897,0.01265211182,Чкаловская
Замоскворечье,59305,0.006766039581,Павелецкая
Красносельское,48769,0.005563999399,Красносельская
Мещанское,61452,0.007010988354,Проспект Мира
Пресненское,128314,0.01463919742,Выставочная
Таганское,123532,0.01409362451,Таганская
Тверское,77947,0.008892884027,Тверская
Хамовники,109451,0.01248713933,Спортивная
Якиманка,27911,0.003184334049,Полянка
Выхино-Жулебино,225493,0.02572623831,Жулебино
Капотня,33714,0.003846391678,Алма-Атинская
Кузьминки,146208,0.0166807034,Кузьминки
Лефортово,95467,0.01089172078,Лефортово
Люблино,172523,0.01968295163,Люблино
Марьино,254142,0.02899476994,Марьино
Некрасовка,83525,0.009529271664,Некрасовка
Нижегородское,45738,0.005218196077,Нижегородская
Печатники,86706,0.009892188313,Печатники
Рязанский,110073,0.0125581026,Рязанский проспект
Текстильщики,105398,0.0120247372,Текстильщики
Южнопортовое,74841,0.008538524042,Пролетарская
Академическое,110038,0.01255410949,Академическая
Гагаринское,81967,0.009351521227,Ленинский проспект
Зюзино,127301,0.01452362541,Каховская
Братеево,110185,0.01257088055,Алма-Атинская
