Муниципальное образование,Все население,Доля,subway
Восточный округ,1527316.0,0.12046903949999999,Щёлковская
Богородское,110137.0,0.008687199377999999,Бульвар Рокоссовского
Вешняки,122419.0,0.009655958131,Выхино
Восточное Измайлово,78206.0,0.006168600148,Первомайская
Восточное,13752.0,0.001084706918,Щёлковская
Гольяново,163197.0,0.01287237601,Щёлковская
Ивановское,128514.0,0.0101367092,Новогиреево
Измайлово,107883.0,0.008509412191,Измайлово
Косино-Ухтомское,82413.0,0.006500432755,Косино
Метрогородок,39121.0,0.003085719848,Бульвар Рокоссовского
Новогиреево,98634.0,0.0077798852650000005,Новогиреево
Новокосино,108204.0,0.008534731484,Новокосино
Перово,141269.0,0.01114277644,Перово
Преображенское,91574.0,0.007223018566000001,Преображенская площадь
Северное Измайлово,88007.0,0.006941666794,Щёлковская
Соколиная Гора,92337.0,0.007283201185,Измайлово
Сокольники,61649.0,0.004862645200000001,Сокольники
Западный округ,1397114.0,0.11019918710000001,Проспект Вернадского
Дорогомилово,76218.0,0.006011794058,Парк Победы
Крылатское,83007.0,0.006547285279,Крылатское
Кунцево,152467.0,0.012026033279999999,Кунцевская
Можайское,139081.0,0.01097019509,Кунцевская
Ново-Переделкино,121718.0,0.009600665842,Новопеределкино
Очаково-Матвеевское,130975.0,0.01033082378,Мичуринский проспект
Проспект Вернадского,64228.0,0.005066067186000001,Проспект Вернадского
Раменки,142389.0,0.0112311179,Раменки
Солнцево,126901.0,0.01000948172,Солнцево
Тропарево-Никулино,124287.0,0.009803299064,Тропарёво
Филевский парк,94787.0,0.007476448128,Филёвский парк
Северный округ,1188312.0,0.09372965731,Балтийская
Аэропорт,79541.0,0.006273900013,Аэропорт
Беговое,42908.0,0.0033844244069999997,Беговая
Бескудниковское,79732.0,0.006288965387,Беговая
Войковское,70899.0,0.005592251003000001,Войковская
Восточное Дегунино,99112.0,0.007817588138,Верхние Лихоборы
Головинское,103573.0,0.008169455325,Водный стадион
Дмитровское,93545.0,0.007378483759,Дмитровская
Западное Дегунино,84381.0,0.006655661319,Верхние Лихоборы
Коптево,102238.0,0.008064155461,Коптево
Левобережное,54712.0,0.004315480287,Речной вокзал
Молжаниновское,12264.0,0.0009673389794,Сокол
Савеловское,59586.0,0.004699923387000001,Савёловская
Сокол,60171.0,0.004746066025,Сокол
Тимирязевское,83824.0,0.006611727218,Тимирязевская
Ховрино,89094.0,0.007027405335,Ховрино
Хорошевское,72732.0,0.005736831265999999,Хорошёвская
Северо-Восточный округ,1434842.0,0.1131750323,Фонвизинская
Алексеевское,80634.0,0.006360111812,Алексеевская
Алтуфьевское,57697.0,0.004550926051,Алтуфьево
Бабушкинское,88691.0,0.006995618185000001,Бабушкинская
Бибирево,160447.0,0.01265546618,Бибирево
Бутырское,71798.0,0.005663160799,Бутырская
Марфино,35579.0,0.0028063399829999997,Владыкино
Марьина Роща,67538.0,0.0053271477480000004,Марьина роща
Останкинское,63697.0,0.005024183869,Телецентр
Отрадное,185745.0,0.01465087889,Отрадное
Ростокино,40196.0,0.003170511873,Ростокино
Свиблово,62981.0,0.004967708436,Свиблово
Северное Медведково,127986.0,0.010095062509999999,Медведково
Северное,38633.0,0.003047228212,Медведково
Южное Медведково,85867.0,0.006772871505,Медведково
Северо-Западный округ,1012949.0,0.07989767218999999,Тушинская
Митино,195476.0,0.0154184242,Митино
Покровское Стрешнево,59512.0,0.004694086541,Стрешнево
Северное Тушино,166217.0,0.013110582450000002,Сходненская
Строгино,161298.0,0.012722589909999998,Строгино
Хорошево-Мневники,174834.0,0.013790259550000001,Хорошёво
Щукино,111673.0,0.008808353379000001,Щукинская
Южное Тушино,109708.0,0.008653361444,Тушинская
Центральный округ,783886.0,0.061830029610000004,Октябрьская
